Pop2023,Pop2022,City,Country,Continent,growthRate,rank,Year
5859272,5690312,Zhengzhou,China,Asia,0.0297,67,2023
5806031,5663015,Ji-nan Shandong,China,Asia,0.0253,68,2023
5687356,5658472,Barcelona,Spain,Europe,0.0051,69,2023
5686350,5515790,Abidjan,Ivory Coast,Africa,0.0309,70,2023
5610241,5514454,Yangon,Myanmar,Asia,0.0174,71,2023
5588477,5483605,Alexandria,Egypt,Africa,0.0191,72,2023
5561294,5535556,Saint Petersburg,Russia,Europe,0.0046,73,2023
5490271,5502591,Fukuoka,Japan,Asia,-0.0022,74,2023
5460591,5227794,Addis Ababa,Ethiopia,Africa,0.0445,75,2023
5419880,5339583,Guadalajara,Mexico,North America,0.015,76,2023
5397098,5309690,Ankara,Turkey,Asia,0.0165,77,2023
5379660,5252842,Chittagong,Bangladesh,Asia,0.0241,78,2023
5325160,5118844,Nairobi,Kenya,Africa,0.0403,79,2023
5253385,5067352,Hanoi,Vietnam,Asia,0.0367,80,2023
5235407,5150766,Melbourne,Australia,Oceania,0.0164,81,2023
5120894,5056571,Sydney,Australia,Oceania,0.0127,82,2023
5116647,5036535,Monterrey,Mexico,North America,0.0159,83,2023
4921487,4809887,Changsha,China,Asia,0.0232,84,2023
4890280,4800954,Cape Town,South Africa,Africa,0.0186,85,2023
4873048,4803877,Brasilia,Brazil,South America,0.0144,86,2023
4865038,4710203,Urumqi,China,Asia,0.0329,87,2023
4862941,4780740,Jiddah,Saudi Arabia,Asia,0.0172,88,2023
4761284,4657381,Kunming,China,Asia,0.0223,89,2023
4710382,4616002,Changchun,China,Asia,0.0204,90,2023
4615758,4496456,Hefei,China,Asia,0.0265,91,2023
4588666,4457882,Kabul,Afghanistan,Asia,0.0293,92,2023
4573713,4490411,Shantou,China,Asia,0.0186,93,2023
4537901,4405292,Ningbo,China,Asia,0.0301,94,2023
4509287,4336670,Yaounde,Cameroon,Africa,0.0398,95,2023
4504147,4470672,Xinbei,Taiwan,Asia,0.0075,96,2023
4420855,4343584,Tel Aviv,Israel,Asia,0.0178,97,2023
4370473,4285135,Shijiazhuang,China,Asia,0.0199,98,2023
4348481,4219209,Kano,Nigeria,Africa,0.0306,99,2023
4315671,4297877,Rome,Italy,Europe,0.0041,100,2023
4307958,4276526,Montreal,Canada,North America,0.0073,101,2023
4263940,4220458,Recife,Brazil,South America,0.0103,102,2023
4211933,4185488,Porto Alegre,Brazil,South America,0.0063,103,2023
4207084,4106756,Jaipur,India,Asia,0.0244,104,2023
4206240,4163953,Fortaleza,Brazil,South America,0.0102,105,2023
4191890,4085697,Nanning,China,Asia,0.026,106,2023
4145010,4061003,Taiyuan Shanxi,China,Asia,0.0207,107,2023
4118327,4044660,Ekurhuleni,South Africa,Africa,0.0182,108,2023
4102308,4067758,Medellin,Colombia,South America,0.0085,109,2023
4088555,3920873,Kozhikode,India,Asia,0.0428,110,2023
4063200,3926645,Douala,Cameroon,Africa,0.0348,111,2023
4009087,3816345,Malappuram,India,Asia,0.0505,112,2023
3981658,3869213,Changzhou,China,Asia,0.0291,113,2023
3958384,3920132,Salvador,Brazil,South America,0.0098,114,2023
3945409,3854224,Lucknow,India,Asia,0.0237,115,2023
3935484,3862882,Xiamen,China,Asia,0.0188,116,2023
3922202,3843753,Fuzhou Fujian,China,Asia,0.0204,117,2023
3920379,3817888,Nanchang,China,Asia,0.0268,118,2023
3919724,3824561,Wenzhou,China,Asia,0.0249,119,2023
3892837,3840396,Casablanca,Morocco,Africa,0.0137,120,2023
3874908,3756445,Ibadan,Nigeria,Africa,0.0315,121,2023
3872264,3699900,Antananarivo,Madagascar,Africa,0.0466,122,2023
3846102,3651919,Kampala,Uganda,Africa,0.0532,123,2023
3839646,3652029,Abuja,Nigeria,Africa,0.0514,124,2023
3814702,3693292,Tangshan Hebei,China,Asia,0.0329,125,2023
3813082,3770919,Curitiba,Brazil,South America,0.0112,126,2023
3769485,3809182,Los Angeles,United States,North America,-0.0104,127,2023
3768239,3630326,Kumasi,Ghana,Africa,0.038,128,2023
3729351,3622203,Bekasi,Indonesia,Asia,0.0296,129,2023
3710845,3624804,Faisalabad,Pakistan,Asia,0.0237,130,2023
3580904,3495855,Guiyang,China,Asia,0.0243,131,2023
3573938,3570750,Berlin,Germany,Europe,0.0009,132,2023
3523890,3457626,Santo Domingo,Dominican Republic,North America,0.0192,133,2023
3510511,3452315,Asuncion,Paraguay,South America,0.0169,134,2023
3482456,3351322,Thrissur,India,Asia,0.0391,135,2023
3480101,3324694,Port Harcourt,Nigeria,Africa,0.0467,136,2023
3471949,3468139,Busan,South Korea,Asia,0.0011,137,2023
3437346,3375810,Wuxi,China,Asia,0.0182,138,2023
3429536,3326001,Dakar,Senegal,Africa,0.0311,139,2023
3422796,3384564,Campinas,Brazil,South America,0.0113,140,2023
3406055,3301294,Kochi,India,Asia,0.0317,141,2023
3367852,3317640,Mashhad,Iran,Asia,0.0151,142,2023
3344761,3294779,Puebla,Mexico,North America,0.0152,143,2023
3302077,3208722,Indore,India,Asia,0.0291,144,2023
3297759,3238523,Kuwait City,Kuwait,Asia,0.0183,145,2023
3297528,3226493,Lanzhou,China,Asia,0.022,146,2023
3292497,3181655,Sanaa,Yemen,Asia,0.0348,147,2023
3234160,3189926,Kanpur,India,Asia,0.0139,148,2023
3228003,3199329,Durban,South Africa,Africa,0.009,149,2023
3203923,3055788,Ouagadougou,Burkina Faso,Africa,0.0485,150,2023
3181250,3041789,Lusaka,Zambia,Africa,0.0458,151,2023
3157538,3132527,Pyongyang,North Korea,Asia,0.008,152,2023
3154570,3149223,Milan,Italy,Europe,0.0017,153,2023
3154463,3153781,Athens,Greece,Europe,0.0002,154,2023
3142466,3092355,Guayaquil,Ecuador,South America,0.0162,155,2023
3095099,3036405,Guatemala City,Guatemala,North America,0.0193,156,2023
3088414,3056149,Izmir,Turkey,Asia,0.0106,157,2023
3046687,2991427,Nagpur,India,Asia,0.0185,158,2023
3044413,3005385,Surabaya,Indonesia,Asia,0.013,159,2023
3041229,2942149,Depok,Indonesia,Asia,0.0337,160,2023
3016789,3010209,Kiev,Ukraine,Europe,0.0022,161,2023
3010685,2973878,Zhongshan,China,Asia,0.0124,162,2023
3009047,2934621,Coimbatore,India,Asia,0.0254,163,2023
3007583,2964382,Dubai,United Arab Emirates,Asia,0.0146,164,2023
3005409,2917786,Handan,China,Asia,0.03,165,2023
3000536,2986162,Lisbon,Portugal,Europe,0.0048,166,2023
2987455,2915276,Port-au-Prince,Haiti,North America,0.0248,167,2023
2979893,2879079,Huaian,China,Asia,0.035,168,2023
2972145,2956813,Caracas,Venezuela,South America,0.0052,169,2023
2937359,2935436,Shizuoka,Japan,Asia,0.0007,170,2023
2929373,2816943,Bamako,Mali,Africa,0.0399,171,2023
2917819,2834645,Weifang,China,Asia,0.0293,172,2023
2901810,2853959,Algiers,Algeria,Africa,0.0168,173,2023
2891746,2765002,Mbuji-Mayi,DR Congo,Africa,0.0458,174,2023
2891119,2793173,Thiruvananthapuram,India,Asia,0.0351,175,2023
2863730,2836747,Cali,Colombia,South America,0.0095,176,2023
2848557,2834132,Incheon,South Korea,Asia,0.0051,177,2023
2848473,2800919,Goiania,Brazil,South America,0.017,178,2023
2818100,2739768,Pretoria,South Africa,Africa,0.0286,179,2023
2811959,2695331,Lubumbashi,DR Congo,Africa,0.0433,180,2023
2805654,2722257,Shaoxing,China,Asia,0.0306,181,2023
2791005,2770434,Manchester,United Kingdom,Europe,0.0074,182,2023
2780142,2732104,Zibo,China,Asia,0.0176,183,2023
2764584,2689227,Yantai,China,Asia,0.028,184,2023
2758593,2684343,Huizhou,China,Asia,0.0277,185,2023
2754196,2742379,Taipei,Taiwan,Asia,0.0043,186,2023
2674000,2638090,Bandung,Indonesia,Asia,0.0136,187,2023
2666112,2668982,Sapporo,Japan,Asia,-0.0011,188,2023
2665100,2645598,Birmingham,United Kingdom,Europe,0.0074,189,2023
